id,vocalized,unvocalized,wordtype,root,wazn,category,gender,feminin,masculin,broken_plural,feminable,masculin_plural,feminin_plural,mamnou3_sarf,relative,plural_tanwin_nasb
0,مُتَّخِذٌ,متخذ,فاعل:,ءخذ,مُفْتَعِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
1,مُتَأَبِّطٌ,متأبط,فاعل:,أبط,,فاعل,مذكر,,,,1,1,1,0,0,
2,آتِي,آتي,فاعل:,أتي,,فاعل,مذكر,,,,1,1,1,0,0,
3,مُؤَثِّرٌ,مؤثر,فاعل:,أثر,,فاعل,مذكر,,,,1,1,1,0,0,
4,مُسْتَأْثِرٌ,مستأثر,فاعل:,أثر,,فاعل,مذكر,,,,1,1,1,0,0,
5,مُتَأَثِّرٌ,متأثر,فاعل:,أثر,,فاعل,مذكر,,,,1,1,1,0,0,
6,آثِمٌ,آثم,فاعل:,أثم,,فاعل,مذكر,,,,1,1,1,0,0,
7,مُتَأَجِّجٌ,متأجج,فاعل:,أجج,,فاعل,مذكر,,,,1,1,1,0,0,
8,مُؤَجِّرٌ,مؤجر,فاعل:,أجر,,فاعل,مذكر,,,,1,1,1,0,0,
9,مُسْتَأْجِرٌ,مستأجر,فاعل:,أجر,,فاعل,مذكر,,,,1,1,1,0,0,
10,مُؤَجِّلٌ,مؤجل,فاعل:,أجل,,فاعل,مذكر,,,,1,1,1,0,0,
11,مُؤَخِّرٌ,مؤخر,فاعل:,أخر,,فاعل,مذكر,,,,1,1,1,0,0,
12,مُتَأَخِّرٌ,متأخر,فاعل:,أخر,,فاعل,مذكر,,,,1,1,1,0,0,
13,مُؤَدِّبٌ,مؤدب,فاعل:,أدب,,فاعل,مذكر,,,,1,1,1,0,0,
14,مُتَأَدِّبٌ,متأدب,فاعل:,أدب,,فاعل,مذكر,,,,1,1,1,0,0,
15,مُؤَدِّي,مؤدي,فاعل:,أدي,,فاعل,مذكر,,,,1,1,1,0,0,
16,مُؤَذِّنٌ,مؤذن,فاعل:,أذن,,فاعل,مذكر,,,,1,1,1,0,0,
17,مُؤْذِي,مؤذي,فاعل:,أذي,,فاعل,مذكر,,,,1,1,1,0,0,
18,مُؤََارِبٌ,مؤارب,فاعل:,أرب,,فاعل,مذكر,,,,1,1,1,0,0,
19,مُؤَرِّخٌ,مؤرخ,فاعل:,أرخ,,فاعل,مذكر,,,,1,1,1,0,0,
20,مُؤْتَزِرٌ,مؤتزر,فاعل:,أزر,,فاعل,مذكر,,,,1,1,1,0,0,
21,مُؤَسِّسٌ,مؤسس,فاعل:,أسس,,فاعل,مذكر,,,,1,1,1,0,0,
22,مُؤْسِفٌ,مؤسف,فاعل:,أسف,,فاعل,مذكر,,,,1,0,1,0,0,
23,آسِفٌ,آسف,فاعل:,أسف,,فاعل,مذكر,,,,1,1,1,0,0,
24,مُتَأَسِّفٌ,متأسف,فاعل:,أسف,,فاعل,مذكر,,,,1,1,1,0,0,
25,آسِنٌ,آسن,فاعل:,أسن,,فاعل,مذكر,,,,1,0,1,0,0,
26,مُؤَشِّرٌ,مؤشر,فاعل:,أشر,,فاعل,مذكر,,,,1,0,1,0,0,
27,مُتَأَصِّلٌ,متأصل,فاعل:,أصل,,فاعل,مذكر,,,,1,1,1,0,0,
28,آفِلٌ,آفل,فاعل:,أفل,,فاعل,مذكر,,,أُفَّلٌ;أُفُولُ,1,1,1,0,0,
29,مُتَأَقْلِمٌ,متأقلم,فاعل:,أقلم,مُتَفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
30,مُؤَكِّدٌ,مؤكد,فاعل:,أكد,,فاعل,مذكر,,,,1,1,1,0,0,
31,مُتَأَكِّدٌ,متأكد,فاعل:,أكد,,فاعل,مذكر,,,,1,1,1,0,0,
32,مُؤِكْسِدٌ,مؤكسد,فاعل:,أكسد,مُفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
33,مُتَأَكْسِدٌ,متأكسد,فاعل:,أكسد,مُتَفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
34,مُتَآلِفٌ,متآلف,فاعل:,ألف,,فاعل,مذكر,,,,1,1,1,0,0,
35,مُؤَلِّفٌ,مؤلف,فاعل:,ألف,,فاعل,مذكر,,,,1,1,1,0,0,
36,مُؤْتَلِفٌ,مؤتلف,فاعل:,ألف,,فاعل,مذكر,,,,1,1,1,0,0,
37,مُتَأَلِّقٌ,متألق,فاعل:,ألق,,فاعل,مذكر,,,,1,1,1,0,0,
38,مُؤْلِمٌ,مؤلم,فاعل:,ألم,,فاعل,مذكر,,,,1,1,1,0,0,
39,آمِرٌ,آمر,فاعل:,أم.ر,,فاعل,مذكر,,,,1,1,1,0,0,
40,آمِنٌ,آمن,فاعل:,أم.ن,,فاعل,مذكر,,,,1,1,1,0,0,
41,مُؤْتَمِرٌ,مؤتمر,فاعل:,أمر,,فاعل,مذكر,,,,1,1,1,0,0,
42,مُتَآمِرٌ,متآمر,فاعل:,أمر,,فاعل,مذكر,,,,1,1,1,0,0,
43,مُتَأَمْرِكٌ,متأمرك,فاعل:,أمرك,مُتَفَعْلِلٌ,فاعل,مذكر,,,,1,1,1,0,0,
44,مُتَأَمِّلٌ,متأمل,فاعل:,أمل,,فاعل,مذكر,,,,1,1,1,0,0,
